"","X.3","X.2","X.1","X","dog_guid","MIN.c.created_at.","hour","day","month","gender","neutered","personality","age","weight","breed","btype","bgroup","ntests","mid","PC1","PC2"
"38",38,38,38,39,"fd415a7e-7144-11e5-ba71-058fbc01cf0b","2013-03-03 21:09:43",21,1,3,"male",1,"protodog","7-10","50-89","German Shepherd Dog-Beagle Mix","Cross Breed","",20,22.429475512,0.648463156191067,-2.22511260388581
"39",39,39,39,40,"fd418a8a-7144-11e5-ba71-058fbc01cf0b","2013-03-06 01:05:47",1,4,3,"female",1,"ace","2-4","20-49","Shiba Inu","Pure Breed","Non-Sporting",27,2.8291751246,0.00724672811554983,0.410326347902181
"40",40,40,40,41,"fd419598-7144-11e5-ba71-058fbc01cf0b","2013-03-14 22:43:46",22,5,3,"female",0,"ace","2-4","50-89","German Shepherd Dog","Pure Breed","Herding",20,2.2125201023,-0.602350038256923,-3.18409663973366
"41",41,41,41,42,"fd41bca8-7144-11e5-ba71-058fbc01cf0b","2013-03-08 19:55:54",19,6,3,"male",1,"stargazer","5-7",">139","Labrador Retriever","Pure Breed","Sporting",39,20.94169682,-3.16392767466985,1.39530930182711
"42",42,42,42,43,"fd41e106-7144-11e5-ba71-058fbc01cf0b","2013-03-14 16:41:54",16,5,3,"male",1,"protodog","5-7","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.27051352339,-0.93324775123087,0.218851378218623
"43",43,43,43,44,"fd41f056-7144-11e5-ba71-058fbc01cf0b","2014-10-09 17:19:01",17,5,10,"male",0,"maverick","2-4",">139","Shih Tzu","Pure Breed","Toy",20,5.0525213207,-0.353173390456257,1.84181638977723
"44",44,44,44,45,"fd420276-7144-11e5-ba71-058fbc01cf0b","2013-03-17 19:14:14",19,1,3,"male",0,"charmer","5-7","50-89","Golden Doodle","Popular Hybrid","",37,11.71638696,-3.07713538659819,0.145165188944475
"45",45,45,45,46,"fd4212ca-7144-11e5-ba71-058fbc01cf0b","2013-03-16 06:43:06",6,7,3,"male",1,"charmer",">10","20-49","Shetland Sheepdog","Pure Breed","Herding",20,0.041185428854,0.957962774947124,0.770588749714446
"46",46,46,46,47,"fd421838-7144-11e5-ba71-058fbc01cf0b","2015-05-16 20:48:46",20,7,5,"male",1,"ace","7-10","50-89","Alaskan Malamute-Collie Mix","Cross Breed","",20,0.35759868421,-0.551411633143663,-1.20822429891103
"47",47,47,47,48,"fd421d7e-7144-11e5-ba71-058fbc01cf0b","2013-03-18 23:04:53",23,2,3,"female",0,"ace","5-7","50-89","Weimaraner","Pure Breed","Sporting",20,0.0018250487291,-0.602350038256923,-3.18409663973366
"48",48,48,48,49,"fd422210-7144-11e5-ba71-058fbc01cf0b","2013-03-19 17:24:15",17,3,3,"male",1,"stargazer","0-1",">139","Shih Tzu","Pure Breed","Toy",20,0.00069078947666,-1.69331037564894,0.893262437779645
"49",49,49,49,50,"fd42226a-7144-11e5-ba71-058fbc01cf0b","2013-03-19 17:59:41",17,3,3,"male",1,"ace","2-4",">139","Shih Tzu","Pure Breed","Toy",20,0.0010483674461,-1.69331037564894,0.893262437779645
"50",50,50,50,51,"fd422332-7144-11e5-ba71-058fbc01cf0b","2013-03-19 18:42:39",18,3,3,"male",1,"socialite","2-4",">139","Shih Tzu","Pure Breed","Toy",20,0.0010971003885,-1.69331037564894,0.893262437779645
"51",51,51,51,52,"fd422e0e-7144-11e5-ba71-058fbc01cf0b","2013-03-20 19:42:14",19,4,3,"male",1,"renaissance-dog","0-1",">139","Shih Tzu","Pure Breed","Toy",45,8.4542703072,-5.60735649796122,2.84030113111236
"52",52,52,52,53,"fd423714-7144-11e5-ba71-058fbc01cf0b","2013-03-21 19:35:27",19,5,3,"male",1,"maverick","2-4",">139","Shih Tzu","Pure Breed","Toy",31,26.794221451,-1.61943793141436,2.92312547334526
"53",53,53,53,54,"fd4275a8-7144-11e5-ba71-058fbc01cf0b","2013-03-27 22:13:44",22,4,3,"male",0,"renaissance-dog","0-1","20-49","Golden Retriever","Pure Breed","Sporting",20,0.035179702724,0.608737088405564,2.03770572420619
"54",54,54,54,55,"fd428d68-7144-11e5-ba71-058fbc01cf0b","2013-03-30 12:38:35",12,7,3,"male",1,"einstein","7-10","50-89","Australian Shepherd","Pure Breed","Herding",20,1.7138730507,1.44846565615046,1.10147514027495
"55",55,55,55,56,"fd42913c-7144-11e5-ba71-058fbc01cf0b","2013-05-08 13:57:34",13,4,5,"male",1,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",27,16.814351852,-2.45153642454782,0.205098118045482
"56",56,56,56,57,"fd4298c6-7144-11e5-ba71-058fbc01cf0b","2013-04-01 06:25:55",6,2,4,"female",1,"charmer","2-4",">139","Great Dane","Pure Breed","Working",20,0.29707541423,1.3429694702958,-0.994431892597877
"57",57,57,57,58,"fd429de4-7144-11e5-ba71-058fbc01cf0b","2013-04-02 14:40:47",14,3,4,"male",1,"expert","2-4",">139","Shih Tzu","Pure Breed","Toy",20,0.00069688109221,0.743302324701396,2.61790598686617
"58",58,58,58,59,"fd42ad20-7144-11e5-ba71-058fbc01cf0b","2014-07-14 14:09:08",14,2,7,"male",1,"einstein","2-4",">139","Shih Tzu","Pure Breed","Toy",20,22.850757188,-0.798218894730862,2.05917373012929
"59",59,59,59,60,"fd42b78e-7144-11e5-ba71-058fbc01cf0b","2013-04-11 02:31:02",2,5,4,"male",1,"socialite","2-4","90-139","German Shepherd Dog","Pure Breed","Herding",20,5.8471284113,0.605901958366141,0.790476323815734
"60",60,60,60,61,"fd42cd96-7144-11e5-ba71-058fbc01cf0b","2013-05-14 22:29:01",22,3,5,"female",1,"ace","5-7",">139","Shih Tzu","Pure Breed","Toy",24,0.039759460548,-1.25985371021975,-2.84218815696043
"61",61,61,61,62,"fd42d930-7144-11e5-ba71-058fbc01cf0b","2013-04-14 06:34:18",6,1,4,"female",1,"charmer","2-4","20-49","Belgian Tervuren","Pure Breed","Herding",20,0.3055914961,1.32902346657967,-0.430769178434002
"62",62,62,62,63,"fd42e33a-7144-11e5-ba71-058fbc01cf0b","2013-04-16 21:39:40",21,3,4,"female",1,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",22,2.3722437169,-0.931101874238337,-3.01314239834705
"63",63,63,63,64,"fd42e542-7144-11e5-ba71-058fbc01cf0b","2013-04-20 22:02:13",22,7,4,"female",0,"ace","2-4","20-49","Border Collie","Pure Breed","Herding",20,0.053977217347,-0.545636679057873,-3.03456802094601
"64",64,64,64,65,"fd42f7ee-7144-11e5-ba71-058fbc01cf0b","2013-04-18 18:55:50",18,5,4,"male",1,"stargazer","5-7","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","Toy",20,0.0013072612132,-1.69331037564894,0.893262437779645
"65",65,65,65,66,"fd42f85c-7144-11e5-ba71-058fbc01cf0b","2013-04-18 19:46:16",19,5,4,"female",1,"stargazer","7-10",">139","Shih Tzu","Pure Breed","Toy",20,20.011507066,-0.687884759070564,-0.515409783460095
